Event Root Code	Year	Avg. Avg Tone	Num Articles
05	1998	6.012164292	15,227
05	2001	6.041026502	14,252
16	1984	6.042695037	90
05	1986	6.048960438	509
05	2007	6.060815388	17,885
05	2012	6.134727811	76,827
05	1995	6.147036848	2,664
05	1982	6.188577595	463
10	1987	6.230870938	42
05	2008	6.288352939	21,232
05	2006	6.349514566	6,593
12	1979	6.386271326	148
05	2011	6.413345062	72,261
05	1999	6.427020879	24,438
05	2009	6.462164279	48,691
13	1990	6.480661577	69
05	2010	6.483247926	57,600
05	2005	6.506102497	9,639
05	1985	6.517870078	762
05	1996	6.520270995	7,908
20	1993	6.521739130	9
05	2004	6.586968892	9,613
05	1980	6.674865946	272
20	2010	6.810438363	16
05	1979	7.030572998	511
